  3.8568573460578918e+003	  0.0000000000000000e+000	  0.0000000000000000e+000	  4.2224320000000004e+000	
  3.8570532019138336e+003	  2.9999995604157448e-005	  2.6999972760677338e-005	  4.2223800000000002e+000	
  3.8572534408569336e+003	  5.6999968364834785e-005	  1.1599995195865631e-004	  4.2224060000000003e+000	
  3.8574533009529114e+003	  5.7999975979328156e-005	  1.0399986058473587e-004	  4.2223319999999998e+000	
  3.8576528358459473e+003	  5.0000031478703022e-005	  1.0899920016527176e-004	  4.2222830000000000e+000	
  3.8578526110649109e+003	  5.5000069551169872e-005	  1.3099983334541321e-004	  4.2222460000000002e+000	
  3.8580524208545685e+003	  5.6000077165663242e-005	  1.1199992150068283e-004	  4.2222359999999997e+000	
  3.8582527248859406e+003	  6.3000014051795006e-005	  1.8899980932474136e-004	  4.2221719999999996e+000	
  3.8584524979591370e+003	  7.1999966166913509e-005	  1.7799995839595795e-004	  4.2221479999999998e+000	
  3.8586534619331360e+003	  5.3000054322183132e-005	  1.7799995839595795e-004	  4.2221669999999998e+000	
  3.8588532369136810e+003	  7.1000074967741966e-005	  2.1700002253055573e-004	  4.2221109999999999e+000	
  3.8590530488491058e+003	  8.3000049926340580e-005	  1.7599947750568390e-004	  4.2221149999999996e+000	
  3.8592533268928528e+003	  1.6799999866634607e-004	  3.5799946635961533e-004	  4.2221029999999997e+000	
  3.8594532308578491e+003	  1.7400004435330629e-004	  3.8299988955259323e-004	  4.2219699999999998e+000	
  3.8596527538299561e+003	  1.8600001931190491e-004	  4.2799953371286392e-004	  4.2219189999999998e+000	
  3.8598525488376617e+003	  1.7300003673881292e-004	  4.1099917143583298e-004	  4.2218850000000003e+000	
  3.8600523538589478e+003	  1.6599998343735933e-004	  3.7899985909461975e-004	  4.2217770000000003e+000	
  3.8602534110546112e+003	  1.8199998885393143e-004	  4.5199971646070480e-004	  4.2217440000000002e+000	
  3.8604533078670502e+003	  1.6799999866634607e-004	  4.0099956095218658e-004	  4.2217909999999996e+000	
